city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,7way_int_prop,8way_int_count,8way_int_prop
wonosari,12416,2.762167125803489,248.51033291366556,205.60864091387757,68143.16115311784,34195.051703184436,376,0,1568,234,0.0,0.0,0.0,0.0,0.0,0.007267435507065569,0.8925619834710744,0.8393472764881637,0.0,0.0,0.0,0.0
wonosobo,12365,2.5798302743240575,294.10142538954847,219.74896319811143,73141.40522428683,37022.89217299349,1281,0,3354,431,1.0,0.0,0.0,0.00019735543714229328,0.0,0.007943772302156395,0.9147424511545293,0.7631552966729194,0.0,0.0,0.0,0.0
wonsan,12308,2.364705882352941,200.39618786355967,129.90388177978986,77072.00111541568,38572.57368715377,299,0,493,58,0.0,0.0,0.0,0.0,0.0,0.005195302483284898,0.9317647058823529,0.6631268436578172,0.0,0.0,0.0,0.0
woodland,47,2.890880748246298,63.67770779688413,52.907588863194455,25509.630317423085,14044.743171132799,217,10,757,294,5.0,0.0,0.00779423226812159,0.003897116134060795,0.0,0.004533917567660877,0.7651217596229379,0.8591105863833136,0.0,0.0,0.0,0.0
woonsocket,1012,2.7669256381798,90.45872025521273,72.53765303484039,28965.278748155954,14941.15306655205,357,3,1150,288,3.0,1.0,0.001664816870144284,0.001664816870144284,0.0005549389567147614,0.006054333280188245,0.8376876042245692,0.8074032841636516,0.0,0.0,0.0,0.0
worcester,1011,2.780134428678118,79.62291025790411,64.80436713895736,27075.609425052466,15062.050291574496,1246,22,4428,963,30.0,5.0,0.003286034353995519,0.004480955937266617,0.0007468259895444362,0.005286326145282099,0.8502922223887307,0.749943782325163,1.0,0.00014936519790888724,0.0,0.0
worcester,1796,2.3034356947400427,195.95105903126247,125.82810479599465,36066.818950208064,18840.51499697547,1177,19,2014,76,3.0,0.0,0.005776831863788386,0.0009121313469139556,0.0,0.010400515010482418,0.9758409785932721,0.5848508033664881,0.0,0.0,0.0,0.0
worcester,3320,3.023099133782483,115.07507006094454,103.88875429948602,45121.36016165104,23507.510724306252,101,1,712,223,2.0,0.0,0.0009624639076034649,0.0019249278152069298,0.0,0.004895246945137387,0.7832369942196532,0.9256397875422501,0.0,0.0,0.0,0.0
wroclaw,3031,2.8075370121130554,89.9312514608569,75.30078037023634,27104.211105393544,16020.554951011469,967,94,4042,801,37.0,3.0,0.015814266487214,0.006224764468371467,0.0005047106325706595,0.005613491650935539,0.8562393162393163,0.6679777682770415,0.0,0.0,0.0,0.0
wuchang,11326,3.213235294117647,10.949665105633603,9.661469210853179,10839.858401927848,6269.911809297647,16,2,59,55,4.0,0.0,0.014705882352941176,0.029411764705882353,0.0,0.0017463826348237232,0.5597014925373134,0.8973384030418251,0.0,0.0,0.0,0.0
