city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,7way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,7way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,max_info_centrality,avg_info_centrality,max_betweenness_centrality,avg_betweenness_centrality,global_efficiency,avg_closeness_centrality
ahore,6607,2.7083333333333335,38.365409604901664,32.770454037520174,35369.023157996795,17684.51157899842,7,0,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002169435634878559,1.0,0.8901098901098901,0.010960200245715443,0.0002283375051190717,0.2870207626683112,0.0059795992222564836,0.2691214961161762,0.004970389170896785
ahuachapan,305,2.6975425330812857,297.28298458838594,222.16611198602754,75436.31843619389,38438.609919985036,401,1,867,313.0,5.0,0.0,0.0,0.000630119722747322,0.00315059861373661,0.0,0.0,0.007733968143156558,0.7994955863808323,0.8165456267761289,0.00010939025486735124,6.901593367025316e-08,0.41316232717292656,0.00026034173104784285,0.05160033154299182,3.511027721157765e-05
ahwaz,5712,2.964581468218442,301.33825710296685,264.54774249919143,72471.82549130883,43555.41080785094,2182,22,11964,3660.0,39.0,5.0,0.0,0.0012309758281110117,0.0021821844225604296,0.00027976723366159354,0.0,0.006918503384857297,0.7924929971988796,0.7622356072279031,1.2405892242353796e-05,6.96060833886203e-10,0.17849808014408383,9.98758281916315e-06,0.024939984742351595,1.3402197772781217e-06
ain beida,2454,3.1562399743342957,458.81961498942695,442.3333150603876,85345.14065395186,44829.74268905463,112,1,2294,708.0,2.0,0.0,0.0,0.0003208213025344883,0.0006416426050689766,0.0,0.0,0.010234714443307516,0.7721437740693197,1.0203950537979765,0.00010286642822833222,3.300174149128399e-08,0.19108057297979814,6.130271831241518e-05,0.04383403368259926,1.3532989567261082e-05
ain defla,2055,3.0841121495327104,236.27727400402318,220.45184910967274,53460.07080588048,30363.437488286283,86,0,927,262.0,9.0,0.0,0.0,0.0,0.007009345794392523,0.0,0.0,0.007781637836466147,0.7889408099688473,0.887241513850956,0.00026638183819954417,2.0746249080961382e-07,0.2558906008031514,0.00019929174517379394,0.06533529550445726,5.215773102486418e-05
ain el aouda,1597,3.2332904884318765,918.7040978191928,914.5711102326027,155397.60666483804,80700.36962565655,7,0,1172,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011384137421932145,0.7577120822622108,1.0366913421306727,0.0002613776173293244,1.6798047386203368e-07,0.1855720674964419,0.0001192622541750912,0.06353909382795879,3.779860533598658e-05
ain fakroun,2403,2.960739030023095,278.578054480695,243.19285125566446,60598.30507334718,32171.864234706543,110,1,572,179.0,4.0,0.0,0.0,0.0011547344110854503,0.004618937644341801,0.0,0.0,0.008659058500569234,0.7884393063583816,0.8950724637681159,0.0003905946947274762,4.510331347892335e-07,0.22787502257308628,0.0002631351299920165,0.07415023445100541,7.901388124905654e-05
ain mlila,2379,3.2058823529411766,197.7337496084665,188.04091874530639,45649.91880504219,25370.492646989223,75,2,999,443.0,9.0,2.0,0.0,0.00130718954248366,0.0058823529411764705,0.00130718954248366,0.0,0.0077938474573505,0.7028795811518325,0.9780399868895444,0.00029550101633435936,1.9660746263097762e-07,0.1466640033809058,9.585882573915411e-05,0.06281491019429566,3.950425982870639e-05
ain oulmane,2255,2.932088285229202,259.93176663031227,228.81939048865348,56241.74239449348,30641.211641300408,141,0,837,198.0,2.0,0.0,0.0,0.0,0.001697792869269949,0.0,0.0,0.008483077290584609,0.830220713073005,0.8736707783921736,0.0002570875309530434,2.186118460485063e-07,0.23419097060743205,0.00019880387997235318,0.06711047736808853,5.616816680383482e-05
ain oussara,2099,3.2482758620689656,434.302993699402,423.44541885691694,78261.49081802073,41895.186362069624,58,0,1572,688.0,2.0,0.0,0.0,0.0,0.0008620689655172414,0.0,0.0,0.010366417515034712,0.7025862068965517,1.0196332254584681,0.00016248526739565263,7.003675318778131e-08,0.20460976063425315,8.81938623423505e-05,0.04919552906132698,1.9717412185048406e-05
