city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,max_info_centrality,avg_info_centrality,max_betweenness_centrality,avg_betweenness_centrality,global_efficiency,avg_closeness_centrality,6way_int_count,6way_int_prop
al tabqah,4540,3.023615635179153,217.2061226878176,205.8859338832408,54862.45221794955,31457.7718975685,64,0,1010,151,3.0,0.0,0.0024429967426710096,0.006904688717149938,0.8745928338762216,0.8474092207262341,0.00028300284800353157,2.3083429690336996e-07,0.18672210490596017,0.0001520538313566451,0.06541750427065793,4.345174567003979e-05,0.0,0.0
al ubayyid,4140,3.380608197443808,362.38194411640023,359.3155125046616,85143.57872553174,42962.385847591126,96,0,6741,4506,2.0,0.0,0.00017628911414720142,0.008434865451885019,0.6026443367122081,1.1607229446770995,2.9613380075360286e-05,2.6320664896773874e-09,0.24968934115078756,2.2008756381735352e-05,0.024179019119573014,2.2748262826293307e-06,0.0,0.0
al wakrah,5869,2.99406663623916,195.17817621548522,185.64642593932962,48414.968823656935,29304.76109152056,107,8,1879,185,12.0,0.003651300775901415,0.005476951163852123,0.006660288940965322,0.9097572148419606,0.7113047466177482,0.00012880477689208674,5.9439214071106016e-08,0.1691423713843555,7.719870898418782e-05,0.05017177025260964,1.9080624128913286e-05,0.0,0.0
al wasitah,3975,2.623056503602579,434.6451561641864,339.54077425036934,98447.13182700364,51789.04320691407,577,0,1902,156,2.0,0.0,0.0007584376185058779,0.008392608344348778,0.9400834281380357,0.7709242740557981,7.073922154749065e-05,2.6897042413494545e-08,0.29902533172359264,0.00011339603023268587,0.04415313740627759,1.632521707398161e-05,0.0,0.0
al zaqaziq,3968,2.8118455497382198,591.4275699286468,501.9006085906258,102110.64525163779,53620.43648456925,2313,1,11219,1742,5.0,6.544502617801048e-05,0.0003272251308900524,0.011029891002451019,0.8856600562864062,0.8400157104048702,1.2688353895966725e-05,8.312600822829354e-10,0.22446613915871744,1.4690192353319204e-05,0.024316246846796043,1.6188316437490543e-06,0.0,0.0
al zawiyah,2954,2.558551617873652,129.48847220538627,96.04393421859447,31812.898790169213,16949.843262436996,1341,0,3461,390,0.0,0.0,0.0,0.007639508531170264,0.924884437596302,0.6790634935928317,2.986235831215015e-05,5.778320106840199e-09,0.3829394154509319,7.375566553369258e-05,0.031437621643806174,5.387242539121196e-06,0.0,0.0
al zayyatin al qibliyah,3816,2.751519756838906,453.8475644924585,377.2866531571046,131825.0181197819,65912.509059891,222,0,977,117,0.0,0.0,0.0,0.0068856059489416895,0.9110942249240122,0.8477350590026647,0.0001365335000439294,1.0374886021575183e-07,0.42895709398560106,0.00032595523859088225,0.056131550043820755,4.4650794118617775e-05,0.0,0.0
amaigbo,2491,2.773822327382233,151.3325341040848,127.50473996250811,85152.51830692179,43056.21043185418,1464,4,7016,800,13.0,0.00043020004302000433,0.001398150139815014,0.003514766687226259,0.9124166128685173,0.8441048269924124,8.828733955032012e-06,9.503481114135644e-10,0.45136479746101055,4.854428882136057e-05,0.01947781133677142,1.4833736672497927e-06,1.0,0.00010755001075500108
amalapuram,8941,2.5542521994134897,69.48381678231874,51.96003894278967,34060.63362738395,17030.316813692,86,0,235,20,0.0,0.0,0.0,0.004080007291846461,0.9413489736070382,0.7710487444608567,0.0007357938074709215,2.157753101087746e-06,0.3558013132400419,0.0010434056106746097,0.10306305327967863,0.0003138392976645741,0.0,0.0
amalner,7159,2.8687782805429864,74.32513657599465,64.23575152042976,39273.30934441305,19636.654672206525,30,0,160,31,0.0,0.0,0.0,0.0037850203008964406,0.8597285067873304,0.9427917620137299,0.0016378881257280676,7.411258487457319e-06,0.3201995259717794,0.001448866633356468,0.1319057707284113,0.0005691681607330886,0.0,0.0
