city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,7way_int_count,8way_int_count,9way_int_count,10way_int_count,6way_int_prop,7way_int_prop,8way_int_prop,9way_int_prop,10way_int_prop
bayambang,12787,2.4863731656184487,193.00912708347033,138.38390243720514,88838.84796092042,44419.42398046011,135,0,317,25,0.0,0.0,0.0,0.004345151507781238,0.9475890985324947,0.6975763962065332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayamo,639,3.1454054054054055,230.81116589495102,207.60528651308027,58095.345622719615,32054.69864648141,186,1,1027,630,6.0,0.0005405405405405405,0.003243243243243243,0.007200540814327286,0.6560302866414278,0.9279718386135933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayana,7171,2.7473684210526317,63.48328166101164,52.79136053915705,38128.705826831465,19086.07288292971,16,0,71,8,0.0,0.0,0.0,0.0033261573530817914,0.9157894736842105,0.8648648648648649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayannur,10115,2.964516129032258,36.93932065257194,31.37856270487294,20806.443140957224,12840.391139731759,140,1,543,244,2.0,0.001075268817204301,0.002150537634408602,0.002876806496826359,0.7351991388589881,0.7798165137614679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayda,3395,3.0575423500941112,241.4822818341109,230.3789018412007,53836.35457372467,29966.348912427704,171,0,2995,550,3.0,0.0,0.0008066684592632429,0.008058448579765514,0.8513041140091422,0.9025965289923314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayombong,12806,2.8110328638497655,187.8286239175108,144.83967830258754,64455.049906945584,32448.567828824955,195,2,426,227,2.0,0.002347417840375587,0.002347417840375587,0.00578850274404584,0.7305882352941176,0.8536873156342183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayreuth,2770,2.768939393939394,113.92019300218251,93.72524969725016,33385.553771574225,18681.106794027415,234,19,890,173,3.0,0.014393939393939395,0.0022727272727272726,0.006098150085979072,0.8639508070714835,0.7200616095494802,1.0,0.0,0.0,0.0,0.0,0.0007575757575757576,0.0,0.0,0.0,0.0
bayuquan,11430,3.094903339191564,8.572985588913657,7.42791194259127,10598.023020280501,6733.570788053405,76,11,265,217,0.0,0.019332161687170474,0.0,0.0012731707824507783,0.6111111111111112,0.7515751575157515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bazhong,10466,2.7392086330935252,194.5259426533843,152.5419262533733,104024.48807137708,63383.3517777954,120,0,347,84,4.0,0.0,0.007194244604316547,0.0030690384335517436,0.8399280575539568,0.6856368563685636,1.0,0.0,0.0,0.0,0.0,0.0017985611510791368,0.0,0.0,0.0,0.0
bazhou,10847,2.9254658385093166,9.710940354540153,7.599866364422729,11050.799327876668,8005.712196308843,35,0,69,56,1.0,0.0,0.006211180124223602,0.0012130014315300433,0.6459627329192547,0.5394321766561514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
