city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,max_info_centrality,avg_info_centrality,max_betweenness_centrality,avg_betweenness_centrality,global_efficiency,avg_closeness_centrality,6way_int_count,6way_int_prop,7way_int_count,8way_int_count,7way_int_prop,8way_int_prop
al jahra,5691,3.004313725490196,148.11553889084257,146.60534123940653,34507.37316536771,21982.79295627266,26,2,2465,52,2.0,0.000784313725490196,0.000784313725490196,0.006737794382427584,0.9776295133437991,0.6859163229228049,9.039964721094461e-05,3.547866845013525e-08,0.21894066983946545,8.585908621155507e-05,0.04539808859243342,1.7967920044573902e-05,3.0,0.001176470588235294,0.0,0.0,0.0,0.0
al jubayl industrial city,5800,2.9077834179357023,125.20961418442495,108.71979753915522,34395.86454757785,23122.99259863586,467,15,2464,582,14.0,0.004230118443316413,0.003948110547095319,0.005414939854792484,0.8300764655904843,0.6660053847243871,6.458164967289274e-05,1.8289903617358464e-08,0.19150798717786957,5.400676457356728e-05,0.04397935746173376,1.360533241028709e-05,4.0,0.0011280315848843769,0.0,0.0,0.0,0.0
al juwaibiyat,5862,2.9936102236421727,123.96618547304915,107.33174524982849,54477.76994785212,32586.94444044458,42,0,189,82,0.0,0.0,0.0,0.003804167208730107,0.7380191693290735,0.7616747181964574,0.0009804766819155471,3.17306369551957e-06,0.3199876248941617,0.0010223246801730405,0.10965365649555917,0.0002884582113772089,0.0,0.0,0.0,0.0,0.0,0.0
al kafr al bahri,3845,2.8025034770514603,565.6529450508215,480.2936341495501,88025.89329085182,44681.74746708132,217,0,1071,150,0.0,0.0,0.0,0.01265959764594164,0.8956884561891516,0.8697318007662835,0.00016251041016940524,1.1301141180069905e-07,0.3871878431715499,0.0002692544111067802,0.054386117564935686,3.620406454995753e-05,0.0,0.0,0.0,0.0,0.0,0.0
al kamilin,4430,3.2174959871589084,1121.0308269933284,1105.735863864206,254563.8709308327,127281.935465416,17,0,928,297,4.0,0.0,0.0032102728731942215,0.008807462134309905,0.7584269662921348,1.0916767189384802,0.00024821433601008734,1.9920893740777474e-07,0.42427978036908226,0.00034051346739091674,0.061020702576075475,4.591477951390963e-05,0.0,0.0,0.0,0.0,0.0,0.0
al khafji,5747,3.025735294117647,146.57073230997403,139.65532398407453,43604.5207364091,28293.699918185794,77,2,1357,194,2.0,0.0012254901960784314,0.0012254901960784314,0.0051803310536903515,0.8797546012269939,0.7290322580645161,0.00019028166950742917,1.1702439699103886e-07,0.20213131350841818,0.00012385497151251113,0.060950223074548025,3.0477287066392728e-05,0.0,0.0,0.0,0.0,0.0,0.0
al khalis,5349,2.776536312849162,217.3937328664873,185.20974448122524,59353.06871240761,32149.096083892025,159,0,837,78,0.0,0.0,0.0,0.00676204806191768,0.9273743016759777,0.8133457769482034,0.00021635923746408437,2.014518039702834e-07,0.37779683617757986,0.0003517661416923462,0.06499083290651925,5.904097772302448e-05,0.0,0.0,0.0,0.0,0.0,0.0
al khan,5058,2.370748299319728,240.12868186638258,159.67740579890406,64845.07453782882,32422.537268914457,197,0,367,24,0.0,0.0,0.0,0.007406227337322215,0.9591836734693877,0.6823228010247652,0.0003114295900002079,5.296421598642992e-07,0.33090561896828224,0.0005627646581093235,0.07495088733150414,0.0001202046140551344,0.0,0.0,0.0,0.0,0.0,0.0
al kharj,5740,3.1711878685762427,239.48165157493727,231.41150324890737,59908.79629460598,37197.07462173805,200,6,4325,1390,12.0,0.0010109519797809603,0.0020219039595619206,0.006438185099507359,0.7631978411199191,0.8083185691386147,4.127913792792152e-05,7.145428064379699e-09,0.32221098562785566,5.428997230460921e-05,0.03374231751989133,5.222030019458102e-06,1.0,0.00016849199663016007,0.0,1.0,0.0,0.00016849199663016007
al khidhr,5483,2.955684007707129,349.59072723138166,326.68882987903686,95131.10020385507,53879.63890198543,34,2,437,45,1.0,0.0038535645472061657,0.0019267822736030828,0.006488364331233473,0.9110251450676983,0.8367346938775511,0.0006479751495525293,1.24850703189312e-06,0.4802937622168838,0.0009254215071616258,0.09644391699890165,0.00017390648466609929,0.0,0.0,0.0,0.0,0.0,0.0
