city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,max_info_centrality,avg_info_centrality,max_betweenness_centrality,avg_betweenness_centrality,global_efficiency,avg_closeness_centrality
anyue,10444,2.569868995633188,100.09734821585364,73.65241560860846,47922.36012240841,24813.63891111707,121,0,293,43,1.0,0.0,0.0,0.002183406113537118,0.0,0.004033964892227387,0.9039301310043668,0.75192096597146,0.0004943337862034632,1.088840938774148e-06,0.2542208900071848,0.0005550674454305345,0.08655530564758382,0.00017677380144311635
anzhero sudzhensk,6062,2.8165680473372783,50.377007099447106,40.838165518486704,23411.87329000943,11793.292745121062,320,0,1044,322,4.0,0.0,0.0,0.002366863905325444,0.0,0.004271665953538574,0.8071005917159764,0.8693333333333333,8.181999238647426e-05,4.8760424544978706e-08,0.4791885885531976,0.0002835435435226021,0.04623182070616896,2.7300015207688298e-05
anzhou,10722,2.986111111111111,9.944624631851132,7.872827833548813,14046.77676769826,8090.273404634419,15,0,28,29,0.0,0.0,0.0,0.0,0.0,0.0012292074858872468,0.5972222222222222,0.8992805755395683,0.009753935296678777,0.000135471323564983,0.21409654899091515,0.002973563180429377,0.25386192880324376,0.003541209232581803
anzio,2910,2.483849259757739,208.57770757588884,144.6662790095667,37003.93209607925,19642.34204255945,1366,17,2638,428,7.0,2.0,0.003813369223867205,0.0015702108568864963,0.00044863167339614175,0.010618779935913925,0.9015987390227427,0.6240847133040441,2.883388441477805e-05,6.511717347510851e-09,0.2636739049612544,5.914623260683141e-05,0.029056922943091756,5.60710140783888e-06
an chau,11601,2.604591836734694,67.40874763424459,51.93224945291292,46222.10087031052,23664.2239863121,90,0,277,25,0.0,0.0,0.0,0.0,0.0,0.0028485509464935455,0.9362244897959183,0.7073170731707317,0.0005915728985713966,2.032896558664593e-06,0.24395602539573455,0.0006223367994789146,0.061301429722234166,0.00014428023664621388
an khe,11995,2.4861878453038675,264.21736075944693,186.64130850805446,67700.00415359,34112.20485838024,372,0,803,91,1.0,0.0,0.0,0.0007892659826361484,0.0,0.007745537465442885,0.9273875295974744,0.7026492684855674,7.370905077332483e-05,5.8268024326739e-08,0.5544550937474322,0.0004376125443941848,0.048849572839847345,3.6041980164213414e-05
an nazlah,3995,2.7530646582805867,437.7412486557371,365.63196196106554,115085.59774415367,58553.60589707801,2056,3,9390,1031,1.0,0.0,0.00024036535534011698,8.012178511337233e-05,0.0,0.007475905914747115,0.9172944382112518,0.8509879363552563,1.2972321164939406e-05,1.0407831486633028e-09,0.379885374199042,3.043709431928868e-05,0.02529812807078167,2.1319199656909495e-06
an numaniyah,5449,3.0033444816053514,268.44118274484515,257.0690925059331,67446.3792587594,36384.783058498164,38,1,779,78,1.0,0.0,0.0011148272017837235,0.0011148272017837235,0.0,0.007377842058677523,0.9118303571428571,0.9177392277560157,0.0004030616256094719,4.4934406422460635e-07,0.26831483899423625,0.0002991246811529947,0.07492012080973111,7.859691125068151e-05
aomori,12827,2.9048025613660617,183.30195552552308,157.42058016156716,42821.62337060954,22476.430189511077,1323,7,6306,1708,25.0,1.0,0.0007470651013874066,0.0026680896478121665,0.00010672358591248666,0.008155296636521193,0.8148029477731497,0.9083916457454195,2.7702244367392315e-05,2.9662966449718724e-09,0.19680595594552647,2.1003837347441458e-05,0.029183244442649,2.865853817809836e-06
apalit,12821,2.594301221166893,342.1169387953184,262.2741796734802,83023.23926300382,41817.79038531632,172,2,516,47,0.0,0.0,0.0027137042062415195,0.0,0.0,0.00818113381034708,0.9360544217687075,0.7447098976109215,0.00022195949444977082,3.8334973134675446e-07,0.2463657202011239,0.00033428184559175565,0.04666496775133,7.297396230730281e-05
