city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,max_info_centrality,avg_info_centrality,max_betweenness_centrality,avg_betweenness_centrality,global_efficiency,avg_closeness_centrality,6way_int_count,7way_int_count,8way_int_count,6way_int_prop,7way_int_prop,8way_int_prop
al minya,3915,2.7050603118564283,311.6777456351761,249.27800868173765,60704.649199461186,33241.822338795726,1361,0,4725,707.0,5.0,0.0,0.0007355104442483084,0.009376072781407792,0.8952633127390409,0.765433007137076,2.439504290539234e-05,3.6481296404056137e-09,0.21654073621363962,3.185359461806997e-05,0.033504852477200885,4.9568646145817385e-06,0.0,0.0,0.0,0.0,0.0,0.0
al misrakh,5641,1.912280701754386,4.604898746495218,2.100480129980275,13161.796729791122,6580.898364895567,31,0,26,0.0,0.0,0.0,0.0,0.000699737101405348,1.0,0.3669724770642202,0.04347826086956523,0.0036231884057971024,0.025324675324675326,0.00044429254955570747,0.06443191311612366,0.001805108008115527,0.0,0.0,0.0,0.0,0.0,0.0
al munastir,2842,2.9439638962015797,304.20102099936526,284.06586504002405,53389.6411764679,28982.68431956318,176,5,2270,208.0,0.0,0.00188040616773223,0.0,0.01049595743600709,0.921627731725697,0.8417876673580992,0.00010475141566779366,3.945439384850985e-08,0.2601017085807043,9.78193714105695e-05,0.04504801183921856,1.5783455457159503e-05,0.0,0.0,0.0,0.0,0.0,0.0
al musaiyib,5359,2.7010978043912175,279.85372015604275,226.7876454757552,60181.559819642236,32046.343732487818,380,1,1462,160.0,1.0,0.000499001996007984,0.000499001996007984,0.008732781576961422,0.9196205691462805,0.7920519870032492,8.77389263057168e-05,4.3825637515343056e-08,0.3413195065215553,0.0001703191150307162,0.04521639727366384,2.028796517602152e-05,0.0,0.0,0.0,0.0,0.0,0.0
al mutadarririn,5856,3.1233211233211233,184.19215028027347,172.7223094203297,65392.84109293566,41292.17825792452,51,4,557,207.0,0.0,0.004884004884004884,0.0,0.004460703165857435,0.7460122699386503,0.7403076923076923,0.0002901602477209687,3.5428601675331953e-07,0.3517081564079255,0.00042943608841016547,0.07343627376693528,6.904551110098597e-05,0.0,0.0,0.0,0.0,0.0,0.0
al nazla,4041,2.6238993710691823,520.6526005202587,398.18463033499035,120806.2409374514,60403.12046872569,187,0,533,75.0,0.0,0.0,0.0,0.008619630848208111,0.9056603773584906,0.7886435331230284,0.0002669169500062584,3.3574459120284077e-07,0.35543515344869675,0.00044708824333169404,0.07085571255072194,9.29408280629797e-05,0.0,0.0,0.0,0.0,0.0,0.0
al qadarif,4603,3.2049034703304513,597.7497686482532,591.8735124836428,135450.43584981322,68094.47867636934,83,0,6464,1896.0,0.0,0.0,0.0,0.00877824135329916,0.7754352718228118,1.0735146022155087,3.474651149457705e-05,4.118349116341952e-09,0.27791473339717027,3.291658573933084e-05,0.026718423194896992,3.12164341527754e-06,0.0,0.0,0.0,0.0,0.0,0.0
al qobabat,3983,2.876641464385197,326.8480648606827,288.9997612894696,90632.49615028584,45316.24807514276,291,0,1951,270.0,1.0,0.0,0.0003979307600477517,0.0072126020741767475,0.8921607640270592,0.9233220474009162,8.693581963249109e-05,3.467723160450383e-08,0.26055595118677105,0.0001036832276907167,0.04304893532340387,1.5530427633962612e-05,0.0,0.0,0.0,0.0,0.0,0.0
al qurayya,4703,2.699846860643185,570.3988034225404,445.48758000841593,219003.21859846482,112652.53552783895,143,0,421,88.0,1.0,0.0,0.0015313935681470138,0.005063346339697628,0.8637059724349158,0.7863182167563413,0.0003276437627335994,5.353656253816984e-07,0.41930632342844965,0.0006421230067816993,0.06882854623743526,0.00010318223166443554,0.0,0.0,0.0,0.0,0.0,0.0
al qurayyat,4542,3.0254095620193917,374.8049968011826,351.74778536306235,90541.75247370508,57425.907606953064,184,7,2351,447.0,2.0,0.002340354396522902,0.0006686726847208291,0.006526757911542379,0.8495308310991957,0.7311755827603555,0.00010808176838702206,3.6625472174524585e-08,0.11774844653802581,3.936758493414437e-05,0.04832816938880287,1.3688936136705226e-05,0.0,0.0,0.0,0.0,0.0,0.0
