city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,max_info_centrality,avg_info_centrality,max_betweenness_centrality,avg_betweenness_centrality,global_efficiency,avg_closeness_centrality,5way_int_count,5way_int_prop,6way_int_count,6way_int_prop
albacete,1801,3.094760820045558,178.9536886806969,168.0289532441532,32179.781018960548,24745.633890667414,134,20,1559,469,0.009111617312072893,0.007231727805857,0.7783908045977012,0.47295742232451093,0.000162839961340358,7.452629809627368e-08,0.12125476118423202,5.524134905887564e-05,0.05025135550863435,1.7402639877297873e-05,12.0,0.005466970387243736,1.0,0.00045558086560364467
albany,983,2.898174157303371,58.182003175231465,49.80608277430277,23334.012251233733,13842.729161956153,615,32,2821,781,0.00749063670411985,0.004203073143635038,0.810377358490566,0.7743952802359882,5.757020317646199e-05,1.3603545174022209e-08,0.13545902524980996,3.1708573326266374e-05,0.04107754753428931,9.937588225718812e-06,23.0,0.0053838951310861425,0.0,0.0
alcala de henares,1719,2.8889265154080594,150.25531133968445,135.7029852160306,31157.53739418091,22213.88988672178,286,36,2358,266,0.012190992211310531,0.0067640252160203005,0.9064106959204662,0.5035168982672843,9.757114370250731e-05,3.40919439910927e-08,0.11077749113063723,3.751354254339222e-05,0.04259321305238404,1.1276420368810574e-05,7.0,0.0023704707077548256,0.0,0.0
alchevsk,4175,2.9734848484848486,34.311429472350994,29.27518745699644,17656.514385745537,9027.199783473896,155,4,615,278,0.003787878787878788,0.0038008939976231565,0.7319391634980988,0.9137684611719866,0.00021679809192735977,2.0569078930489543e-07,0.3281091554181382,0.0003107094274792975,0.06220843053631815,5.400869562877267e-05,4.0,0.003787878787878788,0.0,0.0
alessandria,2507,3.068016194331984,158.69941590866728,145.9777623257053,31515.432349036597,22109.98283515657,99,13,844,265,0.010526315789473684,0.007177726780335759,0.7716857610474632,0.5453054530545306,0.00026431889017109096,2.1577052258864567e-07,0.3489057395309689,0.00028251476885098693,0.06319317011996353,4.241407065305921e-05,12.0,0.009716599190283401,2.0,0.0016194331983805667
alfenas,1316,3.2509881422924902,232.5423319801049,217.37652772053283,60605.031821752054,33370.340161597334,132,2,1121,765,0.0009881422924901185,0.006968533459773213,0.6196834817012858,0.9385986630354048,0.00018268477472026257,9.052763861261773e-08,0.17270625179580468,8.532917578844105e-05,0.05177021829067368,2.410170432490263e-05,3.0,0.0014822134387351778,1.0,0.0004940711462450593
algeciras,1650,2.8425567703952903,221.51274918550385,191.07104757329918,39781.00104724354,24701.675612214112,817,56,4342,710,0.009419680403700588,0.008967519153881753,0.8760400747155714,0.6022254310710948,6.744695946518463e-05,2.0115406938617546e-08,0.05922622960873402,9.96235990054399e-06,0.02008027465028682,3.682605567382838e-06,16.0,0.002691337258200168,4.0,0.000672834314550042
algonquin,652,2.867947770386795,63.7684482723954,54.31079716128872,27616.478191848164,14409.24059418226,602,9,2780,659,0.0022172949002217295,0.00442552456915335,0.8350617283950618,0.8601605929586165,3.726785008371123e-05,9.259093188499683e-09,0.3535344269438342,8.709889799059724e-05,0.03785345979652149,1.0436224722789085e-05,9.0,0.0022172949002217295,0.0,0.0
aliabad e katul,5845,2.678391959798995,292.59262451444977,225.93835829340256,64217.40168631001,34740.926704187776,272,0,766,152,0.0,0.008422130676185439,0.8693467336683417,0.741082668904742,0.00020948649246671757,1.7544932367396782e-07,0.16866622076424045,0.00014126149142733706,0.06162111504944807,4.457742976082305e-05,4.0,0.0033500837520938024,0.0,0.0
alibag,6890,2.4486692015209126,121.99846559367138,85.35253866629482,51467.40918295341,25977.104518765904,79,0,172,11,0.0,0.004696384291233824,0.9543726235741445,0.6737044145873321,0.0011964364527092192,4.637350591896199e-06,0.30833366106464316,0.001172371334846552,0.1189886036418534,0.0004923152121472408,1.0,0.0038022813688212928,0.0,0.0
