city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,7way_int_count,8way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,7way_int_prop,8way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,9way_int_count,10way_int_count,9way_int_prop,10way_int_prop
ouagadougou,1799,3.129757585115417,335.9734779384543,322.66085634099335,77967.9851424438,40017.96099402518,2053,25,38961,10710,47.0,14.0,2.0,0.0,0.00048251370338917623,0.0009071257623716513,0.0002702076738979387,3.86010962711341e-05,0.0,0.008395567130184776,0.791974819935505,1.0298255269433905,0.0,0.0,0.0,0.0
padang,10988,2.538394214381132,337.3633251150719,246.93460021550936,59656.723846924164,31173.62883550504,5819,10,14253,1627,0.0,0.0,0.0,0.0,0.0004606384448846101,0.0,0.0,0.0,0.0,0.010822074224827935,0.9250195861560441,0.7257161293296154,0.0,0.0,0.0,0.0
palembang,11653,2.5048207291352815,363.6831094196967,260.1415122408311,58694.073312705616,30448.24453923276,13229,16,29759,3459,3.0,0.0,0.0,0.0,0.0003443377953772651,6.456333663323721e-05,0.0,0.0,0.0,0.011944304669226124,0.9254682454251884,0.7197588675386188,0.0,0.0,0.0,0.0
paris,2046,2.839844402911367,113.7037252944644,96.82292652238125,25372.806541974933,16375.344433328937,19541,2147,91063,17751,972.0,139.0,8.0,1.0,0.016311862758505418,0.007384783698773761,0.0010560544589810214,6.0780112747109145e-05,7.597514093388643e-06,0.006943592897077746,0.8542498551843986,0.6027380331730676,0.0,0.0,0.0,0.0
pati,12444,2.627253150422715,186.65677330963067,144.58530725659062,53582.843180570075,27017.343799824797,5652,4,17466,1950,1.0,3.0,0.0,0.0,0.0001595150741745095,3.987876854362737e-05,0.00011963630563088213,0.0,0.0,0.0069087758845797825,0.9220644543714104,0.7912204072677955,0.0,0.0,0.0,0.0
pekanbaru,11146,2.598610681247636,382.1102434953057,291.50705463392353,73873.57038924933,38132.57677094828,6895,13,20050,2111,10.0,0.0,0.0,0.0,0.00044705801437463464,0.0003438907802881805,0.0,0.0,0.0,0.010020572325613741,0.927028142847313,0.7635522218590328,0.0,0.0,0.0,0.0
perth,11640,2.8854616223962997,120.03057142697659,104.32570992437363,27896.751006904455,16856.0563830015,8034,425,43856,8838,128.0,122.0,0.0,0.0,0.006921485920883344,0.0020845887008778072,0.00198687360552416,0.0,0.0,0.007120916583313134,0.8509626422644232,0.5901550622791121,0.0,0.0,0.0,0.0
philadelphia,898,3.047430830039526,83.89560372907825,74.14818737041499,27740.148555394044,16450.03168772378,9083,405,47014,21136,479.0,55.0,5.0,0.0,0.005180551824705476,0.0061271217877380815,0.0007035317292809906,6.395742993463551e-05,0.0,0.005100026876646524,0.7213007251967289,0.7796308321385633,0.0,0.0,0.0,0.0
phnom penh,11478,2.7161340532127047,265.4592776500748,204.64342095802496,65591.87691184053,35081.89797010152,4710,22,12261,3530,32.0,4.0,0.0,0.0,0.001070090957731407,0.0015564959385184105,0.00019456199231480132,0.0,0.0,0.007566844811997114,0.8263621755855286,0.7769850739000219,0.0,0.0,0.0,0.0
phoenix,79,2.8058380414312616,69.75673509815586,56.81214938117399,24801.5769104349,13861.995590175993,21678,1044,73107,20309,640.0,39.0,3.0,0.0,0.008936825885978428,0.005478513953090224,0.00033384694401643555,2.5680534155110427e-05,0.0,0.005032228920025953,0.8186929933665008,0.7764643895191905,0.0,0.0,0.0,0.0
