city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,7way_int_prop,8way_int_count,8way_int_prop,9way_int_count,9way_int_prop
moriyama otsu,12902,2.80361029317629,206.23825173079868,171.06870221019648,47244.39052025515,24728.785737973645,3996,25,16044,3326,37,5,0.0010668715059958178,0.0015789698288738105,0.00021337430119916357,0.00834000722542952,0.8561175666438824,0.8674670483433381,0.0,0.0,0.0,0.0,0.0,0.0
moscow,3675,2.883777390438247,26.368273583785147,22.905632079490154,12877.970843421977,8065.945611301532,4219,424,22528,4801,142,13,0.013197211155378486,0.0044198207171314745,0.0004046314741035857,0.0032690864598491046,0.8436474892758011,0.6274781950380897,1.0,3.112549800796813e-05,0.0,0.0,0.0,0.0
mumbai,6845,2.7977721278191363,150.12481030737,122.79693790373835,42126.621537440304,24337.10705741899,9952,69,35920,8561,153,14,0.0012620950778291964,0.002798558650838653,0.00025607726216824274,0.006168556104601001,0.8401157466759459,0.737543384096924,2.0,3.658246602403468e-05,0.0,0.0,0.0,0.0
mysuru,7885,2.9957341809209153,478.45340080586965,433.85164302090527,96404.77581380557,50941.83216214856,2229,17,17329,4302,31,3,0.0007109698465141566,0.0012964744259964032,0.00012546526703191,0.009392151410709882,0.8185318489997488,0.9373835883054643,0.0,0.0,0.0,0.0,0.0,0.0
nagpur,7927,2.923400511396442,335.8409555336975,296.2373741561157,69721.30230631803,37011.59253608986,4289,8,26310,5732,28,4,0.00021995545901954853,0.0007698441065684199,0.00010997772950977427,0.009073939609764707,0.8414872260264554,0.9028616218148815,0.0,0.0,0.0,0.0,0.0,0.0
naha,12882,3.0628235500570327,143.3527813413679,131.61111060501912,39967.00852852229,21666.76389590758,1867,27,15839,4946,102,11,0.0011845222426954461,0.004474861805738352,0.00048258313591295957,0.00661625252529956,0.7777045724074318,0.9623756287201564,0.0,0.0,2.0,8.774238834781083e-05,0.0,0.0
nairobi,4808,2.6005762088236315,395.2975795066579,301.6221108929624,98248.32488333898,52435.96198151138,6827,26,19792,2157,5,2,0.0009024957478565726,0.0001735568745878024,6.942274983512097e-05,0.007538673165680409,0.9248167320988083,0.7343861294974028,0.0,0.0,0.0,0.0,0.0,0.0
naples,2980,2.6880511245417615,70.2652562233043,56.061482418727216,20793.4665876086,12181.952604117396,8161,313,28005,3773,98,18,0.007752898048152185,0.002427424947983751,0.00044585356187456653,0.005767979773583691,0.9028183429441574,0.6207981226517544,2.0,4.953928465272961e-05,2.0,4.953928465272961e-05,0.0,0.0
newcastle upon tyne,1830,2.4117043847241866,188.89604509918587,128.84072892214272,35655.141744712426,19207.982728954215,8991,109,17745,1418,15,2,0.0038543140028288545,0.0005304101838755304,7.072135785007072e-05,0.009834246925599477,0.9490610911930709,0.6384791522445284,0.0,0.0,0.0,0.0,0.0,0.0
new orleans,400,3.2373557968808147,82.7036195229451,74.74354653188387,27793.184005607745,16793.972946905888,2845,58,14053,12447,151,5,0.0019621773402347846,0.005108427213369871,0.0001691532189857573,0.004924601211661614,0.5727941425714382,0.8136515416038104,0.0,0.0,0.0,0.0,0.0,0.0
