city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,7way_int_prop,8way_int_count,8way_int_prop,9way_int_count,10way_int_count,11way_int_count,9way_int_prop,10way_int_prop,11way_int_prop
durban,3868,2.5116728177838814,141.59995875675816,101.78218647310621,40848.67665802231,22201.75777254025,13105,102,29865,3514,14,4.0,0.0021886533344777272,0.00030040339884988414,8.582954252853832e-05,0.006377871527446935,0.9240462775794589,0.651415606619426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
edmonton,403,2.973604189543036,71.02745605814587,60.579418662651236,24744.804683624512,14748.757719091182,3483,131,13936,5799,314,15.0,0.005532561871779711,0.013261255173578849,0.0006334994509671425,0.00481582635032414,0.739754533486219,0.7454394869290067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
el alto la paz,849,3.137236854526574,330.42574970551465,311.382521139932,75541.14333258204,40673.620707837945,2442,24,29418,10276,190,21.0,0.0005664117813650524,0.004484093269139998,0.0004956103086944209,0.008123834169546663,0.752337772740153,0.9507031443718931,1.0,2.3600490890210518e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
erbil,5159,3.026049414069586,300.08311535664296,289.38102551172113,68390.06606848899,38359.276246543355,983,15,24019,2482,33,4.0,0.0005442078148242209,0.001197257192613286,0.00014512208395312556,0.00782296082511943,0.9075794976041818,0.8886024940552903,13.0,0.0004716467728476581,4.0,0.00014512208395312556,5.0,3.0,2.0,0.00018140260494140697,0.00010884156296484417,7.256104197656278e-05
faisalabad,6405,3.0172362643882757,230.475270220528,203.0025742508448,60527.519742588665,32027.279680602605,4018,17,21112,8494,62,4.0,0.0005043313160080693,0.0018393259760294293,0.00011866619200189867,0.007196217490807247,0.7458965302306254,0.9434673553289699,1.0,2.9666548000474666e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fortaleza,1406,3.0980223938054072,189.72501243730144,171.65357875302516,44238.54951510458,25699.233858730473,4330,37,27989,13058,40,5.0,0.00081392023581689,0.0008799137684506918,0.00010998922105633648,0.0073825162835680636,0.7115274536568182,0.8368211891368245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fuji,12971,2.6408984830805133,266.6406967443463,203.32519874262582,48324.49724327178,25142.908197446497,4884,9,13322,2316,36,1.0,0.00043757292882147026,0.001750291715285881,4.8619214313496694e-05,0.010605006177106682,0.8855489080208181,0.7915014715540096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fukuoka,12741,3.0015456869389454,224.01798027190128,201.23795796317486,51798.37437587779,27457.726076455212,6842,91,46780,13307,224,36.0,0.0013524760715771952,0.0033291718684977114,0.0005350454788657035,0.008158650124490643,0.7980295566502463,0.9536318378342177,4.0,5.9449497651744845e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gaziantep,4424,3.1774300932090545,360.49405822469197,351.4594201856767,71727.62004382545,39672.859320952026,527,11,15758,4669,62,1.0,0.000523112041088073,0.0029484496861327753,4.7555640098915734e-05,0.009086666915240663,0.7748489318171005,1.0034262057151015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glasgow,1709,2.542522287889412,171.96301153391974,126.08553775663106,37926.07577116866,20947.098588191075,7990,180,19360,2382,34,3.0,0.006010217369528198,0.0011352632809108819,0.00010017028949213663,0.008209395244402194,0.9187409721522389,0.6634807585708766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
