city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,max_info_centrality,avg_info_centrality,max_betweenness_centrality,avg_betweenness_centrality,global_efficiency,avg_closeness_centrality,7way_int_count,7way_int_prop
abu road,6629,2.967432950191571,221.93337640051263,195.14831373148525,83025.71657690662,49416.346712710394,63,0,353,103,3.0,0.0,0.0,0.005747126436781609,0.0,0.004491092344214694,0.7969348659003831,0.9432146294513956,0.0006444592337882448,1.2538117388876359e-06,0.29861501113817984,0.0005720594083106894,0.09247816557667603,0.0001809961416382363,0.0,0.0
abu sir bana,3912,2.832558139534884,509.28550422506305,438.65309602809873,107289.69690931933,53644.84845465998,328,0,1777,260,0.0,0.0,0.0,0.0,0.0,0.009493651653345717,0.8900634249471459,0.9108994708994709,0.00013841913611915892,9.296113909950229e-08,0.18511854110539008,7.82742245688753e-05,0.032540878968849364,1.5631704496838975e-05,0.0,0.0
abu tig,4049,2.5943396226415096,514.6560422349913,391.81832649399814,119198.82174443694,61958.45628084634,253,0,731,76,0.0,0.0,0.0,0.0,0.0,0.008306469740016597,0.9283018867924528,0.7073286052009456,0.00022389498674049835,2.2211804240128805e-07,0.28382953583559,0.0002677637130524434,0.05886332325291859,5.655849105150255e-05,0.0,0.0
abu zabad,4005,2.125,11.287223407071176,4.938160240593639,16005.38155443174,8002.690777215869,9,0,3,4,0.0,0.0,0.0,0.0,0.0,0.0014104285322639935,0.75,0.7037037037037037,0.043352601156069356,0.0027095375722543348,0.5619047619047619,0.03511904761904762,0.433333333333333,0.03125,0.0,0.0
abyuha,3958,2.698089171974522,387.6145074516004,315.52314683002885,106819.3831881733,55607.49226837696,146,0,584,55,0.0,0.0,0.0,0.0,0.0,0.006970544644970983,0.9299363057324841,0.8115015974440895,0.0003728685229296008,7.075304040409883e-07,0.24281049269454588,0.0003093127295471922,0.04711037977915883,7.787251685023733e-05,0.0,0.0
ab pakhsh,5828,2.927689594356261,196.29442549712473,177.25352002562232,59049.26795994984,33220.3354257802,55,0,444,67,1.0,0.0,0.0,0.001763668430335097,0.0,0.00590886344105945,0.8800705467372134,0.804251550044287,0.0006744571460726404,1.1937294620754696e-06,0.22707939177891714,0.0004004927544601713,0.08893099783557878,0.00013149336924314254,0.0,0.0
acailandia,1199,3.2349397590361444,234.3437124539223,213.991572767914,63971.10168626477,33010.48424479255,173,1,1004,813,1.0,0.0,0.000502008032128514,0.000502008032128514,0.0,0.007099069214378168,0.5911602209944752,1.0294191601709832,0.00013022740838350194,6.603823954538638e-08,0.39482584567548,0.0001982057458210241,0.047326771861991676,2.2007695833079637e-05,0.0,0.0
acambaro,129,2.938082556591212,215.73382911789557,182.69868884018854,51027.46500520691,27701.237263020146,230,4,906,354,7.0,1.0,0.002663115845539281,0.004660452729693742,0.0006657789613848203,0.007787877020420678,0.7583444592790387,0.8365095285857572,0.00017787600308061404,1.1913998866752447e-07,0.28125789291431924,0.00018725558782577845,0.05581217078958317,3.6481667745922844e-05,0.0,0.0
acapulco,122,2.615664845173042,303.6758342799446,224.43801413312846,54984.667008540586,29314.619570322473,5157,25,11896,2634,47.0,5.0,0.0012649261283141065,0.0023780611212305203,0.0002529852256628213,0.010359194106253381,0.8639242109529358,0.7448382438628937,5.657783997231669e-06,2.901576489682378e-10,0.2242444136474469,1.134610471804528e-05,0.018888736335242247,1.064764751574099e-06,0.0,0.0
acarigua,786,2.983408159281671,266.9184165561238,226.27887626454142,68126.6807654574,39598.5149618645,780,12,2856,1463,12.0,0.0,0.0023423775131758734,0.0023423775131758734,0.0,0.0067406168340701815,0.711406769712385,0.8175589703435451,4.565227535293221e-05,9.167123564845825e-09,0.25415049261993444,4.96096999062921e-05,0.036229844201088525,6.74749727795303e-06,0.0,0.0
