city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,8way_int_count,9way_int_count,7way_int_prop,8way_int_prop,9way_int_prop,10way_int_count,10way_int_prop,11way_int_count,11way_int_prop,12way_int_count,13way_int_count,14way_int_count,15way_int_count,16way_int_count,17way_int_count,18way_int_count,19way_int_count,20way_int_count,21way_int_count,22way_int_count,23way_int_count,24way_int_count,25way_int_count,26way_int_count,27way_int_count,28way_int_count,12way_int_prop,13way_int_prop,14way_int_prop,15way_int_prop,16way_int_prop,17way_int_prop,18way_int_prop,19way_int_prop,20way_int_prop,21way_int_prop,22way_int_prop,23way_int_prop,24way_int_prop,25way_int_prop,26way_int_prop,27way_int_prop,28way_int_prop
krasnodar,4306,2.9835400763358777,62.07596115105727,53.89443239725022,25319.77473074499,14182.907407950142,1105,23,5183,2055.0,14.0,4.0,0.002743320610687,0.0016698473282442,0.0004770992366412,0.0043768149481298,0.7520631503408683,0.8243704013878088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krasnodon,4260,2.8072590738423027,65.52777827334698,54.86618731523045,28349.266393962676,14251.208064738208,130,1,562,105.0,1.0,0.0,0.0012515644555694,0.0012515644555694,0.0,0.0045980507740591,0.8671679197994987,0.8680075424261471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krasnoyarsk,6266,2.851728907330567,33.70527229606522,27.971180328684827,16065.182239606213,9198.655237745872,615,21,2281,682.0,15.0,1.0,0.0058091286307053,0.0041493775933609,0.0002766251728907,0.0036641521423434,0.8057874234835838,0.7249060281219546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kremenchuk,3651,2.857985257985258,51.41074101163302,43.17491714441319,21016.684121232996,10832.609928472337,326,1,1350,352.0,6.0,0.0,0.0004914004914004,0.0029484029484029,0.0,0.0047459237756272,0.823992133726647,0.8614324390844204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kribi,2871,2.5793758480325644,284.7596175163011,206.7115269623081,82802.8783702202,41673.76520087394,202,0,441,94.0,0.0,0.0,0.0,0.0,0.0,0.0068330667062051,0.8724559023066486,0.7454050374404356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krishnagiri,8274,2.480225988700565,106.93937738004104,75.7638300760291,33135.19955262664,18819.746507747477,258,0,572,54.0,1.0,0.0,0.0,0.0011299435028248,0.0,0.0056822963760971,0.9378531073446328,0.6804532577903682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krishnanagar,9707,2.683206106870229,105.55713762623186,81.98808208755032,39283.94007383047,19641.970036915227,234,0,679,134.0,1.0,0.0,0.0,0.0009541984732824,0.0,0.0053740606175372,0.8711832061068703,0.8412242945958871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krishnarajanagara,7838,3.1578947368421053,44.3239875571736,38.49188393122971,34551.86518981553,17275.932594907783,10,0,35,30.0,1.0,0.0,0.0,0.0131578947368421,0.0,0.0025656494845458,0.5921052631578947,1.108843537414966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krkhan,4357,3.124899919935949,206.3591947892378,191.98509555251744,56112.986713992585,30127.897875653096,87,0,835,324.0,3.0,0.0,0.0,0.0024019215372297,0.0,0.0068494388702771,0.7381905524419535,0.9875651825110308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroonstad,3630,3.1139742319127848,122.14465140673131,117.90772098132436,47034.01726779107,24269.131847666176,70,0,1579,368.0,1.0,0.0,0.0,0.0004955401387512,0.0,0.0050329221569776,0.8171456888007929,0.9635326221781196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kropyvnytskyi,3616,3.082403433476395,57.908994039956646,50.82570506940401,24672.226524134665,12599.319929388208,285,3,1285,749.0,8.0,0.0,0.0012875536480686,0.0034334763948497,0.0,0.0045961999825786,0.6746884400515686,0.99333189933319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krsehir,4050,3.188900203665988,427.7414334755283,414.6739762410417,109538.20027371538,59758.53843722467,60,5,1414,474.0,11.0,0.0,0.0025458248472505,0.0056008146639511,0.0,0.0071578295698256,0.7524247064828994,0.9407104523383591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krusevac,3326,2.684121621621621,145.94963283757048,114.63949200924031,36400.66679247104,19508.31070802261,254,1,794,135.0,0.0,0.0,0.0008445945945945,0.0,0.0,0.0074814080533149,0.885883347421809,0.6903854299025837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kryvyi rih,3670,2.947870778267254,23.46757286164828,20.538433811369128,12151.198894094116,6330.869811612562,510,4,2770,793.0,9.0,0.0,0.0009789525208027,0.0022026431718061,0.0,0.003706848120396,0.8035276825085742,0.897536462801814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ksar chellala,2068,3.1188913202042303,498.0336614961016,443.1809387492662,83212.986235009,43348.650828461294,151,0,763,449.0,8.0,0.0,0.0,0.0058351568198395,0.0,0.0114890233485446,0.6666666666666666,0.9959810010960906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
