country,country_iso,core_city,uc_id,cc_avg_dir,cc_avg_undir,cc_wt_avg_dir,cc_wt_avg_undir,circuity,elev_iqr,elev_mean,elev_median,elev_range,elev_std,grade_mean,grade_median,intersect_count,intersect_count_clean,intersect_count_clean_topo,k_avg,length_mean,length_median,length_total,street_segment_count,node_count,orientation_entropy,orientation_order,pagerank_max,prop_4way,prop_3way,prop_deadend,self_loop_proportion,straightness,uc_names,world_region,world_subregion,resident_pop,area,built_up_area
algeria,DZA,hassi_bahbah,2108,0.0246367032408222,0.0266209000762776,0.0015456013938729,0.0016241128338383,1.0184099929037265,8.0,885.4485125858124,885.0,57.0,7.158205380852089,0.0213081906524757,0.012,1260,1103,1115,3.2967200610221203,75.9235969458584,55.028000000000006,164070.893,2161,1311,3.4650491475281444,0.1049287081895427,0.0025486976401353,0.3668954996186117,0.5865751334858886,0.0389016018306636,0.0,0.9819228080713984,Hassi Bahbah,Africa,Northern Africa,96806,12.0,5.022605896
brazil,BRA,chapeco,1153,0.0220929232432637,0.0289860619398462,0.0006938076477661,0.0007981816730115,1.0149815045220305,40.0,670.6675597231525,671.0,254.0,31.926319248350644,0.0535656133572512,0.035,4010,3041,3064,3.235990176378656,92.87024810266318,77.876,673030.6880000001,7247,4479,3.0319172924814013,0.4390660002723661,0.0008435560513138,0.4471980352757312,0.4367046215673141,0.1047108729627148,0.0,0.985239628056981,Chapecó,Latin America and the Caribbean,South America,177404,49.0,21.973028183
india,IND,ambajogai,7542,0.0440251572327044,0.0440251572327044,0.0026282609527399,0.0026282609527399,1.0361503391023523,21.0,642.0801886792453,643.0,81.0,12.360623305280244,0.0203356401384083,0.012,173,163,163,2.7264150943396226,230.43212110726645,126.93,66594.883,289,212,3.3738972051339937,0.1817041992245425,0.0105919355784039,0.1179245283018868,0.6981132075471698,0.1839622641509433,0.0,0.9651109132158652,Ambajogai,Asia,South-Central Asia,188069,16.0,4.14943504333
colombia,COL,sabanalarga,620,0.0257086823219087,0.0275885103540414,0.0010105748070988,0.0010648064729981,1.019394949195483,9.0,95.47294589178355,96.0,38.0,6.927776490670774,0.0204881057268722,0.011,1291,1144,1146,3.032732130928524,66.51997885462555,56.3455,151000.35199999998,2270,1497,3.224236490100712,0.300295335767909,0.0016849733147974,0.3219772879091516,0.5344021376085505,0.1376085504342017,0.0,0.9809740579833266,Sabanalarga,Latin America and the Caribbean,South America,74523,8.0,3.39282393456
india,IND,shirdi,7121,0.0150103519668737,0.0150103519668737,0.0008058315919163,0.0008058315919163,1.0368394014238769,5.0,513.388198757764,513.5,22.0,3.9032198367922697,0.0124168865435356,0.006,216,197,197,2.354037267080745,214.0282321899736,117.167,81116.7,379,322,3.367224149495491,0.1871895676864619,0.0089549573892267,0.0590062111801242,0.6086956521739131,0.3291925465838509,0.0,0.9644695201848176,Shirdi,Asia,South-Central Asia,101644,15.0,2.14258098602
brazil,BRA,paranavai,1135,0.022347619719556,0.0259974556381741,0.0020385330622447,0.0022565294050192,1.008731304660477,29.0,462.3767848917549,464.0,99.0,18.843079747185072,0.0319313513513513,0.022,2087,1723,1735,3.408567480423768,97.52460351351353,96.398,360841.033,3700,2171,2.891537637278176,0.5306849349092813,0.0013578905976213,0.5237217871948411,0.4256103178258867,0.0386918470750806,0.0,0.991344271145213,Paranavaí,Latin America and the Caribbean,South America,68598,22.0,7.45650196075
iran,IRN,omidieh,5764,0.0251545562195591,0.0305281485780615,0.0013820925115979,0.0016419638057855,1.058014459641604,7.0,25.87869994196169,25.0,44.0,5.132147336930387,0.0177689768976897,0.007,1477,1130,1150,2.8136970400464305,87.07683457095709,62.213,211074.247,2424,1723,3.217968988186484,0.3050592758328488,0.0020813545894216,0.1439349970980847,0.7115496227510156,0.142774230992455,0.0053630363036303,0.9451666665678125,Omidieh; Miankouh,Asia,South-Central Asia,59295,12.0,5.56337070465
china,CHN,uxin_banner,10244,0.0,0.0,0.0,0.0,1.0020304844584476,11.0,1309.9015151515152,1310.0,41.0,9.029096180651932,0.0120480769230769,0.007,121,101,102,3.1515151515151514,397.5732788461538,312.552,82695.242,208,132,1.808496751295953,0.9630773827108708,0.0188028974459758,0.3939393939393939,0.4469696969696969,0.0833333333333333,0.0,0.9979736300542345,Uxin Banner,Asia,Eastern Asia,51339,13.0,4.82451057434
poland,POL,lublin,3289,0.0475850573376189,0.0806215112888443,0.0012156093256013,0.001655407656852,1.058281697860413,26.0,196.51762059485128,195.0,72.0,15.96153977337449,0.0329919325265859,0.015,3163,2570,2609,2.726318420394901,134.24878621195452,83.38749999999999,732192.88,5454,4001,3.560987493285265,0.0204038504032436,0.0010140363939073,0.1669582604348913,0.6050987253186704,0.2094476380904773,0.0025669233590025,0.9449279922555172,Lublin,Europe,Eastern Europe,320313,86.0,48.5351142883
bangladesh,BGD,sreemangal,9997,0.0319940476190476,0.0319940476190476,0.002896661996345,0.002896661996345,1.059161200325816,5.0,19.446428571428573,19.0,24.0,4.154719150986578,0.0110574712643678,0.005,146,140,140,2.330357142857143,388.1305593869732,200.06,101302.076,261,224,3.3732823304077626,0.1822104085833384,0.0131310308329785,0.0491071428571428,0.6026785714285714,0.3482142857142857,0.0,0.9441433463502846,Sreemangal,Asia,South-Central Asia,212337,52.0,10.8892908096
germany,DEU,stuttgart,2514,0.0378268549424931,0.0559902035680597,0.0006025800751844,0.0007635243651629,1.060923812518079,67.0,301.89734717416377,288.0,343.0,65.09470775416474,0.0372943320925591,0.021,15427,12896,13015,2.732410611303345,114.9368241682336,77.296,2995138.701,26059,19074,3.551017893313803,0.0293649269810035,0.0002255354364501,0.1293383663625878,0.6584879941281325,0.191202684282269,0.0041060670018035,0.942574752494736,Stuttgart,Europe,Western Europe,986038,330.0,172.142562866
china,CHN,kuandian,11736,0.0452380952380952,0.0535714285714285,0.0041735486018652,0.0044124283918586,1.0368802993348138,10.0,276.57142857142856,276.0,90.0,11.604201268989693,0.0135555555555555,0.009,66,65,65,2.7857142857142856,401.9377008547008,237.178,47026.711,117,84,2.991393756923608,0.4663519017666395,0.0284157130790113,0.238095238095238,0.5476190476190477,0.2142857142857142,0.0,0.9644314783890932,Kuandian,Asia,Eastern Asia,100814,16.0,4.66560983658
turkey,TUR,eregli,3701,0.053683708762069,0.07213061752344,0.0039385111356813,0.0043467062441695,1.0959896690045148,57.0,53.12221144519884,44.0,192.0,39.09039314550073,0.0720514603616133,0.046,883,754,758,2.7895247332686712,136.90187760778858,78.6985,196864.9,1438,1031,3.572073804755885,0.0103906769584678,0.0044377917669058,0.1348205625606207,0.7129000969932104,0.1435499515033947,0.0,0.9124173596529408,Ereğli; Gülüç,Asia,Western Asia,104760,29.0,12.022108078
china,CHN,unnamed,12369,0.0125300889586603,0.0209821428571428,0.0006540679061118,0.0007767352939938,1.0174506201480684,3.0,3.2232142857142856,3.0,12.0,2.390976389965714,0.0104402332361516,0.003,192,150,151,3.0625,348.2622361516035,241.374,119453.947,343,224,2.6022230281195253,0.6937562044388115,0.0190975944208789,0.4375,0.4107142857142857,0.1428571428571428,0.0,0.982848681004756,织里镇; 旧馆镇,Asia,Eastern Asia,72169,20.0,11.275850296
cameroon,CMR,bamenda,2883,0.0344445550932891,0.0371403912543151,0.0028782493975179,0.002941644183177,1.0844161179150964,29.0,1269.4436133486763,1250.0,407.0,66.477933696464,0.0664485875706214,0.043,2639,2376,2376,2.546029919447641,133.74194463276837,102.587,591808.105,4425,3476,3.5775580081298592,0.0054185125867474,0.0007605865380365,0.060126582278481,0.6987917146144994,0.2407940161104718,0.0,0.9221552349504032,Bamenda,Africa,Middle Africa,411202,64.0,22.1654548645
