country,country_iso,core_city,uc_id,cc_avg_dir,cc_avg_undir,cc_wt_avg_dir,cc_wt_avg_undir,circuity,elev_iqr,elev_mean,elev_median,elev_range,elev_std,grade_mean,grade_median,intersect_count,intersect_count_clean,intersect_count_clean_topo,k_avg,length_mean,length_median,length_total,street_segment_count,node_count,orientation_entropy,orientation_order,pagerank_max,prop_4way,prop_3way,prop_deadend,self_loop_proportion,straightness,uc_names,world_region,world_subregion,resident_pop,area,built_up_area
el_salvador,SLV,san_salvador,321,0.0281499674330108,0.0361403508771936,0.0003813372001951,0.0004507079594118,1.067392677997848,212.0,680.9231354983202,686.0,683.0,161.916634169919,0.0475119924916574,0.027,16107,13854,14046,2.577200447928332,99.97334899888766,67.82,2876033.304,28768,22325,3.4653635992166025,0.1046578941726983,0.0001977335440156,0.1453079507278835,0.5728107502799552,0.278521836506159,0.0019466073414905,0.9368623381188456,San Salvador; Santa Tecla; Santiago Texacuangos; Apopa; Santo Tomás; San Marcos; Cuscatancingo; Soyapango,Latin America and the Caribbean,Central America,1675634,287.0,126.652244568
china,CHN,guangzhou,12080,0.0430768211086595,0.062938526750813,0.0004267111227847,0.0005460429458357,1.0578953346443722,16.0,13.331253153661216,7.0,404.0,18.643413939734003,0.027240189113468,0.01,117709,93224,96802,2.966400522394705,214.2444857315816,119.697,42823616.297,199882,134764,3.530679891631233,0.0475178626504363,3.422992063935195e-05,0.2182852987444718,0.6437772698940369,0.1265545694695913,0.0009855814930809,0.9452730976795216,Guangzhou; Shenzhen; Dongguan; Foshan; Jiangmen; Futian; Baoan; Pānyú; Shunde; Haizhu; Tianhe; Huangpu; Longgang; Luohu; Liwan; Yuexiu; Baiyun; Nanshan; Pingshan; Longhua; Guangming; 黄埔区; 高明区; 南海区; 禅城区; Xinhui; 蓬江区; 江海区,Asia,Eastern Asia,40589878,6622.0,2771.37182617
japan,JPN,kitakyushu,12743,0.0441099313256693,0.0459848240798894,0.0006291526518285,0.0006577164289648,1.0714853923318917,22.0,19.56422335841389,13.0,329.0,19.40976568658114,0.036314239414843,0.018,40156,34592,34795,3.0035946326106857,92.08780691008565,63.931,6194194.244,67264,44789,3.576395987489464,0.0064730801463718,7.497053928032989e-05,0.2192502623411998,0.6705887606331912,0.1034405769273705,0.0015015461465271,0.9332838386379522,Kitakyushu; Shimonoseki; Nogata; Nakama,Asia,Eastern Asia,1203249,531.0,283.044677734
united_states,USA,sacramento,49,0.0345520041426739,0.0435636048920271,0.0013214438635417,0.0014821691377195,1.0781141037099329,32.0,26.5130033199966,17.0,165.0,22.19737499331329,0.0145813665181093,0.009,36527,33276,33480,2.712352089895292,135.9325171050154,92.8665,8662163.72,63724,46988,3.2561841971955485,0.2757589358407851,9.04135267932861e-05,0.1649995743594109,0.6036647654720354,0.2226313101217332,0.0023225158496014,0.92754560631279,Sacramento,Northern America,Northern America,1528104,811.0,562.846618652
uganda,UGA,kampala,4427,0.0147100153498012,0.016538949461702,0.000141473623037,0.0001478207013687,1.0705825923404897,32.0,1187.478425221148,1185.0,190.0,25.000732829931177,0.0593323863015494,0.041,25889,23214,23250,2.353270931907015,113.14849629564875,88.506,5177335.745,45757,38888,3.5803097173050307,0.0029190256861878,0.0001012726172454,0.0365665500925735,0.6285229376671467,0.3342676404032092,0.0006774919684419,0.934070857451378,Kampala; Kira; Mukono; Nansana; Wakiso,Africa,Eastern Africa,3483365,528.0,198.968490601
united_states,USA,providence,1009,0.0319250795726945,0.039124269752142,0.0008363060161159,0.00093701449308,1.053171559550812,19.0,30.24459758380126,27.0,160.0,18.282231676159064,0.0515645588678109,0.032,19506,18013,18060,2.82542113323124,118.54070626317376,81.148,3936736.855,33210,23508,3.4975759903456023,0.0766987124905131,0.0001676355103847,0.1767058022800748,0.6478220180364131,0.1702399183256763,0.003492923818127,0.949512917369806,Providence; Warwick; Cranston; Pawtucket; East Providence,Northern America,Northern America,591000,396.0,253.382019043
india,IND,chandigarh,6760,0.0332702543101918,0.037592516061165,0.0008042545517211,0.0008785612961753,1.052822660378426,24.0,325.31705301123344,323.0,96.0,16.012127896285048,0.0203041707439633,0.01,23264,19840,20093,2.84111657962956,93.1993304329428,60.496,3523959.883,37811,26617,3.144273024752412,0.3598550804280689,0.0001599723175348,0.1004245407070669,0.7721756771987828,0.125972123079235,0.0017719711195154,0.949827580307362,Chandigarh,Asia,South-Central Asia,2169863,274.0,65.7836074829
united_kingdom,GBR,birmingham,1800,0.0236269991626072,0.0356823585354257,0.0002726074325738,0.0003434086308559,1.058113954702063,37.0,138.93726105563482,137.0,228.0,29.851890505535582,0.0365804248772116,0.017,48044,41292,41464,2.4106990014265337,85.26139887567312,59.74600000000001,7204161.898,84495,70100,3.5813596828266845,0.0019644734364305,5.85006094570821e-05,0.0448074179743223,0.6350641940085592,0.3146362339514978,0.0062843955263625,0.9450777920054684,Birmingham; Wolverhampton,Europe,Northern Europe,2426862,668.0,457.20135498
costa_rica,CRI,san_jose,392,0.0295875355311765,0.0354118801455114,0.0008959828342364,0.0009902328629352,1.0627484082631378,181.0,1139.8541068351522,1153.0,1024.0,148.28520926952046,0.0403520356269071,0.024,20671,18952,19015,2.611789201608272,108.31497913516785,82.169,3940173.996,36377,27856,3.5153094193947063,0.0611232816114151,0.0001533283983118,0.1361286616886846,0.6018452039058013,0.257933658816772,0.0023916210792533,0.9409564787157024,San José; Alajuela; Heredia,Latin America and the Caribbean,Central America,1861671,431.0,211.546478271
germany,DEU,hamburg,2531,0.0458573369742855,0.0742610157498214,0.0009284409127894,0.0012453067806497,1.0724876500703138,16.0,20.37636647579386,19.0,80.0,11.604802923587942,0.0161246478639843,0.008,18138,15309,15392,2.855804268610099,134.4044551751566,91.62,4055385.626,30173,21131,3.560506888217562,0.0208367821523618,0.0001975512615872,0.1511523354313567,0.6831669111731579,0.141640244190999,0.0206144566334139,0.9324116692014482,Hamburg,Europe,Western Europe,1596992,519.0,301.453369141
italy,ITA,milan,2559,0.0491203936777588,0.0970016363097988,0.0003831659458583,0.0006730011444462,1.0501001100228933,66.0,163.62312203885375,153.0,297.0,46.597793589752726,0.0224314110641662,0.008,49380,35888,36187,2.851365869982564,95.33886010426704,62.21000000000001,7717299.369999999,80946,56777,3.526004647219296,0.0516665871775542,9.806894818442197e-05,0.1227433643905102,0.7257340120119062,0.1302816281240643,0.0020260420527265,0.9522901582956684,Milan; Monza,Europe,Southern Europe,3011029,754.0,474.108978271
